Central Yr,HadGEM2-6.0,GFDL-ESM2M-6.0,IPSL-CM5A-LR-6.0,MIROC5-6.0,HadGEM2-2.6,GFDL-ESM2M-2.6,IPSL-CM5A-LR-2.6,MIROC5-2.6
2047,2.01413,1.372334,2.416061,1.388592,1.872023,1.283268,2.200304,1.500935
2048,2.03655,1.374279,2.443925,1.411488,1.879031,1.292071,2.21733,1.510382
2049,2.069801,1.382801,2.475721,1.422753,1.892369,1.288785,2.216499,1.508616
2050,2.100029,1.388008,2.507416,1.426823,1.894425,1.292308,2.202655,1.507795
2051,2.125835,1.409232,2.542849,1.441526,1.901749,1.287292,2.200398,1.509454
2052,2.155612,1.422353,2.56657,1.471738,1.902774,1.271524,2.207508,1.498702
2053,2.176621,1.434115,2.60486,1.511585,1.905886,1.277956,2.218311,1.502296
2054,2.200983,1.456391,2.626728,1.520451,1.904827,1.282575,2.219976,1.511993
2055,2.235145,1.470204,2.647921,1.517243,1.913822,1.286464,2.223388,1.517545
2056,2.280386,1.483957,2.653413,1.53644,1.921187,1.29376,2.232884,1.53633
2057,2.327732,1.502829,2.666636,1.570137,1.933235,1.291225,2.236271,1.550894
2058,2.36782,1.517953,2.680426,1.611624,1.944706,1.282887,2.247144,1.538628
2059,2.416265,1.558145,2.713387,1.635764,1.952744,1.275846,2.250581,1.514227
2060,2.466856,1.585647,2.734502,1.637582,1.949801,1.287866,2.250617,1.517732
2061,2.509251,1.61369,2.766478,1.653911,1.950758,1.313558,2.254208,1.538661
2062,2.549603,1.648725,2.796834,1.681455,1.948893,1.337985,2.263813,1.547458
2063,2.593491,1.6796,2.814752,1.715003,1.95243,1.332057,2.264925,1.540388
2064,2.632251,1.712672,2.834158,1.743121,1.953153,1.331425,2.271414,1.535319
2065,2.672903,1.73715,2.85339,1.77514,1.956891,1.329883,2.257963,1.535713
2066,2.709306,1.759066,2.876907,1.813768,1.960091,1.329902,2.259704,1.544192
2067,2.751152,1.793117,2.893196,1.844231,1.963241,1.330213,2.268591,1.541089
2068,2.802873,1.830963,2.914616,1.865449,1.962462,1.335467,2.263827,1.536803
2069,2.846536,1.858381,2.929816,1.894586,1.955565,1.339756,2.269579,1.540728
2070,2.895317,1.888696,2.960393,1.940936,1.954713,1.338669,2.276763,1.540717
2071,2.944657,1.924918,2.991552,1.993828,1.950086,1.338292,2.27962,1.539062
2072,2.992951,1.952404,3.021652,2.02148,1.944042,1.335734,2.272618,1.531778
2073,3.049156,1.97296,3.047695,2.027454,1.948275,1.333838,2.273009,1.532982
2074,3.096408,1.998025,3.074887,2.060126,1.947857,1.343922,2.286545,1.547165
2075,3.124665,2.029307,3.100566,2.108911,1.937126,1.341357,2.291508,1.554613
2076,3.149825,2.053229,3.134057,2.163007,1.925259,1.335748,2.291662,1.541583
2077,3.177514,2.08027,3.159065,2.191911,1.909457,1.339229,2.295125,1.521429
2078,3.207007,2.098077,3.192586,2.197052,1.885447,1.342196,2.299192,1.529751
2079,3.233799,2.099261,3.218821,2.218021,1.864403,1.340706,2.304773,1.548384
2080,3.260135,2.126725,3.262162,2.25889,1.851627,1.342508,2.30139,1.551647
2081,3.286421,2.158481,3.297223,2.298596,1.844518,1.325775,2.298995,1.535941
2082,3.31566,2.17074,3.335954,2.34059,1.841267,1.300732,2.300116,1.529904
2083,3.344831,2.185999,3.375252,2.365369,1.842251,1.299583,2.307266,1.538098
2084,3.383035,2.202882,3.394482,2.372003,1.84836,1.300704,2.303546,1.540663
2085,3.416472,2.225674,3.420702,2.37584,1.848016,1.302029,2.315378,1.533631
2086,3.453375,2.243426,3.455577,2.394501,1.837543,1.305446,2.309657,1.522828
2087,3.480323,2.25786,3.487979,2.429896,1.829282,1.304172,2.303273,1.509139
2088,3.505642,2.277366,3.522264,2.449267,1.827322,1.302,2.315211,1.510122
2089,3.532867,2.29178,3.561614,2.462777,1.834283,1.296361,2.310384,1.516841
